Model,DPO3034
Firmware Version,2.07

Point Format,Y
Horizontal Units,S
Horizontal Scale,200
Sample Interval,0.2
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-8.692e+02,4.0225
-8.690e+02,4.0225
-8.688e+02,4.02187
-8.686e+02,4.02219
-8.684e+02,4.0225
-8.682e+02,4.02187
-8.680e+02,4.02219
-8.678e+02,4.02156
-8.676e+02,4.02125
-8.674e+02,4.02125
-8.672e+02,4.02187
-8.670e+02,4.0225
-8.668e+02,4.02313
-8.666e+02,4.02281
-8.664e+02,4.02187
-8.662e+02,4.0225
-8.660e+02,4.02344
-8.658e+02,4.02281
-8.656e+02,4.02281
-8.654e+02,4.02187
-8.652e+02,4.02187
-8.650e+02,4.0225
-8.648e+02,4.02281
-8.646e+02,4.02281
-8.644e+02,4.02187
-8.642e+02,4.02125
-8.640e+02,4.02187
-8.638e+02,4.02187
-8.636e+02,4.02062
-8.634e+02,4.02062
-8.632e+02,4.02156
-8.630e+02,4.02125
-8.628e+02,4.02125
-8.626e+02,4.02062
-8.624e+02,4.02031
-8.622e+02,4.01969
-8.620e+02,4.01906
-8.618e+02,4.01844
-8.616e+02,4.01938
-8.614e+02,4.0175
-8.612e+02,4.01781
-8.610e+02,4.01906
-8.608e+02,4.02062
-8.606e+02,4.02094
-8.604e+02,4.02062
-8.602e+02,4.02031
-8.600e+02,4.01844
-8.598e+02,4.01969
-8.596e+02,4.01938
-8.594e+02,4.01969
-8.592e+02,4.02031
-8.590e+02,4.02
-8.588e+02,4.01938
-8.586e+02,4.01969
-8.584e+02,4.01906
-8.582e+02,4.0175
-8.580e+02,4.0175
-8.578e+02,4.01656
-8.576e+02,4.01625
-8.574e+02,4.01594
-8.572e+02,4.01687
-8.570e+02,4.01625
-8.568e+02,4.01656
-8.566e+02,4.01625
-8.564e+02,4.01687
-8.562e+02,4.01594
-8.560e+02,4.01562
-8.558e+02,4.01531
-8.556e+02,4.01562
-8.554e+02,4.01656
-8.552e+02,4.0175
-8.550e+02,4.01781
-8.548e+02,4.01656
-8.546e+02,4.01625
-8.544e+02,4.01594
-8.542e+02,4.01687
-8.540e+02,4.01656
-8.538e+02,4.01656
-8.536e+02,4.01687
-8.534e+02,4.0175
-8.532e+02,4.0175
-8.530e+02,4.01625
-8.528e+02,4.01656
-8.526e+02,4.01719
-8.524e+02,4.0175
-8.522e+02,4.01813
-8.520e+02,4.01844
